evidence_type,identifier,status,valid,method_count,last_validated,failure_count,verifier_id,verifier_version,checksum_root,evaluated_at
ksi,KSI-CED-01,not_satisfied,,0,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-CED-03,not_satisfied,,0,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-CMT-01,not_satisfied,,2,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-CMT-03,not_satisfied,,2,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-CMT-04,not_satisfied,,0,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-CNA-01,not_satisfied,,2,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-CNA-05,not_satisfied,,0,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-CNA-08,not_satisfied,,0,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-IAM-05,not_satisfied,,2,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-IAM-07,not_satisfied,,2,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-INR-01,not_satisfied,,0,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-MLA-03,not_satisfied,,2,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-MLA-07,not_satisfied,,2,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-MLA-08,not_satisfied,,2,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-PIY-01,not_satisfied,,0,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-PIY-02,not_satisfied,,0,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-PIY-04,not_satisfied,,0,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-PIY-06,not_satisfied,,0,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-RCP-01,not_satisfied,,0,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-RCP-02,not_satisfied,,0,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-RCP-03,not_satisfied,,0,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-RCP-04,not_satisfied,,0,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-SVC-01,not_satisfied,,0,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-SVC-03,not_satisfied,,0,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-SVC-04,not_satisfied,,2,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-SVC-05,not_satisfied,,2,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-SVC-08,not_satisfied,,0,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-SVC-09,not_satisfied,,0,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-SVC-10,not_satisfied,,0,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-TPR-01,not_satisfied,,0,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
ksi,KSI-TPR-02,not_satisfied,,0,2026-09-08T15:02:24Z,,,,,2026-09-08T15:02:24Z
